created_at,text,entities__hashtags__text,entities__hashtags__text,
,,AMAs1D,StudioCity,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:04 +0000 2015,Knowing love I will allow all things to come and go To be As supple as the wind And take everything… https://t.co/nhYWFi5tvr,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:05 +0000 2015,@DeBlankface @_hablaEspanol @engerson_1 @LifeCheating nigga thats how my life is lol,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:05 +0000 2015,#GodTrivia Psalm 41:2 ... and thou wilt not deliver him unto the will of his enemies. There are those less fortunate & should be helped.,GodTrivia,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:06 +0000 2015,@tapbot_paul I really hope Apple won’t do this.,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:07 +0000 2015,i want this....,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:09 +0000 2015,I always close now and it's slow af 🙃☹,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:11 +0000 2015,@michpadilla @lapulga1988 sete abrio el apetitu mi titu asta el coraji sete kito jajajajajajajaja,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:12 +0000 2015,"God i'm confused over characterization and, such...",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:12 +0000 2015,"@MelissaAFrancis Melissa, seeing you chat with Lori today brought back enjoyable memories of you & Lori working together on, ""Markets Now.""",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:13 +0000 2015,https://t.co/YrBKw8V0pS,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:15 +0000 2015,"@JStables93 @Forbes Anyway, I'm not interested in rehashing why we don't need to adhere to segregated, sexist social standards of past ages.",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:15 +0000 2015,Pirates of the Caribbean star sighting at my hotel but my lips are sealed. #BeverlyHills,BeverlyHills,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:15 +0000 2015,"Join the In-House Counsel Jobs | JDHUNTR team! See our latest #Legal #job opening here: https://t.co/vyecsm3QW6 #VariousUSCities, US",Legal,,
,,job,,
,,VariousUSCities,,
,,,,
Wed Nov 04 21:51:16 +0000 2015,@Erickataco keep leaving the group chat and you just might.,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:16 +0000 2015,My face during the 85 minutes of @ismilebackmovie #ISmileBack  Note: This is an ACTUAL recreation of my face. https://t.co/e82yPKU6rR,ISmileBack,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:18 +0000 2015,Harry in black makes me weak    #UKVOTY1D #AMAs1D  https://t.co/dmr4fGcaFR,UKVOTY1D,,
,,AMAs1D,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:18 +0000 2015,@OlFuzzyBastard @RealJimmyHart @the_ironsheik @RealKKBundy @howardfinkel @HulkHogan @MrT @cyndilauper https://t.co/yMFINSnPCZ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:19 +0000 2015,"@APfeifer24 pick 2 to start S. Diggs, M. Bryant, E. Decker, A. Robinson",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:19 +0000 2015,Watching the Cavs play without him is so weird,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:20 +0000 2015,Today @chefaaronj is in the lab creating @vakaburger grassfed beef chili!! This will be in a… https://t.co/PoEKb6sSiR,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:21 +0000 2015,@White_Versace @isaacrugerio,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:21 +0000 2015,🙋🏾same lol  https://t.co/eZy5JFbyB9,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:21 +0000 2015,I'm crazy but nigga we still got a heart the fuckkk...so what if I shed a tear or two before I scratch his car??? https://t.co/ODgaVOHLhr,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:21 +0000 2015,vo por,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:22 +0000 2015,@hiimkatie199 hahaha we get another bad president I'll go out of country with you but I just won't come back !💜,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:22 +0000 2015,"porra serio que vcs querem o michel bastos?  apoio demais men, conte comigo eu queria mt ver ele trajando o manto",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:23 +0000 2015,So excited to be able to be apart of this amazing event!! See you all there! https://t.co/kbPGYSzn6b,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:23 +0000 2015,@bonnietah_ I know!! I was telling my mom. 😢🙁😂,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:24 +0000 2015,@rikerR5 ITS MY BIRTHDAY BABE,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:24 +0000 2015,Now buy me something,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:24 +0000 2015,Thai Tea boba from Tiffanys is heaven,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:25 +0000 2015,We're #hiring! Read about our latest #job opening here: In-House Counsel Jobs-Jdhuntr-13887 Deputy Chief... - https://t.co/AcPOwp3ikW,hiring,,
,,job,,
,,,,
,,,,
Wed Nov 04 21:51:25 +0000 2015,"""5 Wounded in Stabbing Spree at UC Merced"" is actually a tragic headline we should strive for. #guncontrol",guncontrol,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:25 +0000 2015,#711 #SevenEleven the new XL white cup is cool #LA #BeverlyHills #Hollywood #SantaMonica   I wonder if NY has one https://t.co/AeK0cqhePA,SevenEleven,,
,,LA,,
,,BeverlyHills,,
,,Hollywood,,
,,SantaMonica,,
Wed Nov 04 21:51:27 +0000 2015,Weather gets under 70 degrees and girls bring out their ugg boots like its 2010,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:27 +0000 2015,"busy day. you should try it sometimes, it really pays. lol 🤑✌🏽️",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:27 +0000 2015,@jasminerr4 me neither 😭😭😍,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:28 +0000 2015,"I'm coming home .... 🔚🚶🏻☀️#me #beach #beautiful #sun #LA @ Santa Monica, California https://t.co/EW0Bob6d98",beach,,
,,beautiful,,
,,sun,,
,,LA,,
Wed Nov 04 21:51:29 +0000 2015,never been so mad and upset,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:29 +0000 2015,"No stream today, but a lot of molds getting made and making some progress on Adventure Time Ice Queen. https://t.co/PZE9tk791y",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:30 +0000 2015,@_BootyChief There needs to be a Psycho (Borderlands) Jinx skin where she uses BANDIT brand weapons.,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:30 +0000 2015,Hope you're having fun at Disney @BaeeLizz 😄❤,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:30 +0000 2015,@sugyara マギーのやつのツイートと言ってること真逆で笑ったw,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:30 +0000 2015,when people take forever to reply so you ignore them for the rest of your existence..,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:31 +0000 2015,@callme_bonnie Here comes the pain. Prepare yourself lol,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:32 +0000 2015,"The more we honor and love ourselves, the more we honor and love one another...and the more we are naturally empowered as a whole",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:32 +0000 2015,morning session with this guy...           #aymannsproductions #allyouneedisguitaranddrums @ 3rd… https://t.co/EwxMXy8RxC,aymannsproductions,,
,,allyouneedisguitaranddrums,,
,,,,
,,,,
Wed Nov 04 21:51:33 +0000 2015,pelo menos uma vez na vida essa torcida idiota acerta alguma coisa,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:33 +0000 2015,@CthomasCtc I would retweet this but your locked,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:33 +0000 2015,my tumblr is on fleek today,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:33 +0000 2015,Photo: A pair of horses in snowy Montana https://t.co/b8t4BbMkZT,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:33 +0000 2015,"Tbh, this would be a lewk without the hair. I like the transparent coat https://t.co/wn3mJnr7nO",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:34 +0000 2015,But it is! @AFMOFFICIAL @SWISS_FILMS with Swiss General Consul Jean-François Lichtenstern https://t.co/pfQ5vZLJF7,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:34 +0000 2015,#TakeTheCrown #Royals https://t.co/fTBBxPHGam,TakeTheCrown,,
,,Royals,,
,,,,
,,,,
Wed Nov 04 21:51:34 +0000 2015,Think if Rev Wright had said that shit.,,,
,,,,
,,,,
,,,,
