created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
			sunset		RED200K	1		
			lateafternoon		Transportation	1		
			afternooncommute		EastWindsor	1		
			PMcommute		tcsnycmarathon	1		
			NYC		mcny	1		
Mon Nov 02 22:37:25 +0000 2015	"Baseball is over.  So in a logical sequence, baseball twitter takes on Daylight-Savings Time."	Quinnipiac University			NOvsNYG	1		
					NYG	1		
								
								
Mon Nov 02 22:37:25 +0000 2015	"Prime Steak Cuts at 50% OFF! Mention on reservation: ""STEAKSOFF"". #KobeBeef Australian #Wagyu #USDA #PrimeSteaks https://t.co/Sy0mI2bl7R"	New York	KobeBeef					
			Wagyu					
			USDA					
			PrimeSteaks					
Mon Nov 02 22:37:25 +0000 2015	@_casonova do it on the side your hair is closer parted to so you can see it from the side when your hair is down	New York						
								
								
								
Mon Nov 02 22:37:25 +0000 2015	"I'm at Gatsby's in New York, NY https://t.co/K6526U7WXS"	null						
								
								
								
Mon Nov 02 22:37:25 +0000 2015	Ohio Fraternity Members Chant 'Send Nudes' And Other Vulgar Things At Sorority https://t.co/ZXtyxCuALf	New York/Johannesburg						
								
								
								
Mon Nov 02 22:37:26 +0000 2015	"I will never live in the Bronx, mfs out here are just ruthless"	"Brooklyn, NY"						
								
								
								
Mon Nov 02 22:37:26 +0000 2015	"This also means KC doesn't get to play the ""nobody respects us!"" card for a long time. It was silly this year; it would be ridiculous now."	null						
								
								
								
Mon Nov 02 22:37:26 +0000 2015	Sick and sleepy ??	ROCBOY 						
								
								
								
Mon Nov 02 22:37:26 +0000 2015	passageway tunnel lead to a Flushing based hospital but the doors were chain locked closed & on the other side of that was @Cardinals dugout	Flushing NY						
								
								
								
Mon Nov 02 22:37:27 +0000 2015	"Join the Wegmans team! See our latest #Hospitality #job opening here: https://t.co/j3WhyYgglM #Woodbridge, NJ #Hiring #CareerArc"	Northern NJ	Hospitality					
			job					
			Woodbridge					
			Hiring					
			CareerArc					
Mon Nov 02 22:37:27 +0000 2015	Glad we have a great safety duo when literally everything else is wrong with the team.	NYU 						
								
								
								
Mon Nov 02 22:37:27 +0000 2015	Behind the scenes today at the Met's photo studio/retouching department. Private tour given by… https://t.co/g1cmsrzhVe	null						
								
								
								
Mon Nov 02 22:37:28 +0000 2015	You Deadass corny if you make musicallys	"Brooklyn, NY"						
								
								
								
Mon Nov 02 22:37:29 +0000 2015	"@klaudibear it includes everything that's why, like unlimited food & drinks and then the admission lol but still so much ??"	"Queens, NY"						
								
								
								
Mon Nov 02 22:37:29 +0000 2015	@JohnFugelsang @lavenderblue27 Or Wisconsin. Or New Jersey. Or.....	null						
								
								
								
Mon Nov 02 22:37:29 +0000 2015	@albertpaulino4 creo que los 300 mil millones de la seguridad social hay que donarlo a los Hermanos Haitianos...	"New York, NY. USA."						
								
								
								
Mon Nov 02 22:37:30 +0000 2015	"NEW VIDEO: Tiara Thomas ""Mary Jane!""  https://t.co/QdPtr98v7y @Tiara_Thomas"	"New York, NY"						
								
								
								
Mon Nov 02 22:37:30 +0000 2015	In Case You Were Wondering ! Our Cross Country Team Broke A School Record. Now 3rd All - Time In SFC NEC Conference Placing With 136 Points.	"Brooklyn , New York"						
								
								
								
Mon Nov 02 22:37:31 +0000 2015	@Snow_Daddy word niggas growing up time to make some changes and cool im off Friday so just hit me defiantly	7/17/94 - 7/31/15 						
								
								
								
Mon Nov 02 22:37:30 +0000 2015	https://t.co/x516lWh7EN	null						
								
								
								
Mon Nov 02 22:37:31 +0000 2015	???????????????? https://t.co/musR1h9Q2T	"Manhattan, NY"						
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Mon Nov 02 22:37:32 +0000 2015	I rly hate lying like it's just not a good look on me. Plus I feel like if I do lie it's really obv I'm lying. Lmao	null						
								
								
								
Mon Nov 02 22:37:32 +0000 2015	I have nightmares where everyone has pupils like #RickandMorty. ??	"Frenchtown, NJ"	RickandMorty					
								
								
								
Mon Nov 02 22:37:37 +0000 2015	@drawnyourtweet this is genius!	jensen's left pocket 						
								
								
								
Mon Nov 02 22:37:37 +0000 2015	Rt https://t.co/MXvxTx8ewG	ROCBOY 						
								
								
								
Mon Nov 02 22:37:39 +0000 2015	@ioegreer You have fun and knock them out. I found that building in a joke at the very beginning grows your confidence. If they laugh :)	Netherlands						
								
								
								
Mon Nov 02 22:37:40 +0000 2015	"@LaLaLaLaToya Back end is loaded and we know about Von and Ware. The others are not as known, but making plays all over the field. #Broncos"	"Westchester County, NY"	Broncos					
								
								
								
Mon Nov 02 22:37:40 +0000 2015	"Want to work at The Cheesecake Factory? We're #hiring in #Huntington, NY! Click for details: https://t.co/vFFURl5vl5 #Hospitality #Veterans"	New York	hiring					
			Huntington					
			Hospitality					
			Veterans					
Mon Nov 02 22:37:41 +0000 2015	@SnoopySnorter have you his provincetown episode of No Reservations?? its on netflix instant	518/212						
								
								
								
Mon Nov 02 22:37:41 +0000 2015	Ok https://t.co/wUN7igZeli	null						
								
								
								
Mon Nov 02 22:37:41 +0000 2015	@mcmunn10 let me finish eating din din and ill be on. 10 min most likely	Tuckerton						
								
								
								
Mon Nov 02 22:37:41 +0000 2015	@Target thank you so much! I've heard that I'm the BEST gifter! But couldn't do it without you guys - I'm always there 7am #BlackFriday!	"Nassau County, New York"	BlackFriday					
								
								
								
Mon Nov 02 22:37:41 +0000 2015	prom is in like 72 hours and i am no where near ready	Jersey 						
								
								
								
Mon Nov 02 22:37:42 +0000 2015	Accident with injuries in #Rochester on Alexander St Both NB/SB at S Av #traffic https://t.co/0wsFrmqFZG	"Rochester, NY"	Rochester					
			traffic					
								
								
Mon Nov 02 22:37:43 +0000 2015	Shopping for Keylas birthday gift tomorrow night I hope she cries when she gets it	NEW YORK						
								
								
								
Mon Nov 02 22:37:43 +0000 2015	Pretty much only wearing @UniqloUSA right now	I...don't really know.						
								
								
								
Mon Nov 02 22:37:43 +0000 2015	"Also owns @PRFootballClub. But hey, #GrowTheGame, right? https://t.co/Cn3eNqHzdx"	New York and beyond.	GrowTheGame					
								
								
								
Mon Nov 02 22:37:43 +0000 2015	@AjoyDhar_AP @SilverAgeTV And #KateJackson https://t.co/tO6fPbxYAw	Lost forever in the Myste	KateJackson					
								
								
								
								
								
								
								
								
								
								
								
Mon Nov 02 22:37:44 +0000 2015	Check this out... https://t.co/JfrbIYKSgI	null						
								
								
								
Mon Nov 02 22:37:44 +0000 2015	"@workcents I own a recruiting company, I just started my blog and I have a #mlm business (skincare). What is your #mlm?"	"New York, NY"	mlm					
			mlm					
								
								
Mon Nov 02 22:37:44 +0000 2015	"Operation ""I should just be mayor already"" commences. (at @TheChurchillNyc in New York, NY) https://t.co/4CYYFGvx8L"	null						
								
								
								
Mon Nov 02 22:37:45 +0000 2015	@kausmickey @AnnCoulter I believe his policy is to follow existing law as and stop using this bullshit as distraction. I guess it favors us	null						
								
								
								
Mon Nov 02 22:37:46 +0000 2015	#TheOC	"Brooklyn, New York"	TheOC					
								
								
								
Mon Nov 02 22:37:46 +0000 2015	Halloween Was Super Fun... While At Home Preparing For My Epicness I Just Put A Quick Costume… https://t.co/5aY3OAO1dg	Brooklyn Son!!						
								
								
								
Mon Nov 02 22:37:46 +0000 2015	What can you do to make #PatientsCount? Artist Tom Benthin is illustrating your tweets and ideas @ #FCP4C #patients https://t.co/WdBE216No2	#MIGlobal	PatientsCount					
			FCP4C					
			patients					
								
								
Mon Nov 02 22:37:47 +0000 2015	@Vosnic @lawschoolsrat and yet you seem to get very upset when they stand up to you. Hmm...	NYC						
								
								
								
Mon Nov 02 22:37:47 +0000 2015	#fig retreat continues with mimosas and a very late lunch before stopping in Woodstock to buy more… https://t.co/rd3NdTfewN	BK / NYC / DET / LA 	fig					
								
								
								
Mon Nov 02 22:37:47 +0000 2015	"Save the date, folks! FRIDAY NOV 13 @iamchrisrose feat. @CecilBaldwinIII @dylanmarron @adamconover @PRobinsonComedy https://t.co/SWpT49tD3B"	195 Morgan Ave. Brooklyn NY 						
								
								
								
								
Mon Nov 02 22:37:47 +0000 2015	Omg  https://t.co/Jp7E7NR6Nf	null						
								
								
								
Mon Nov 02 22:37:48 +0000 2015	@_Brodes FB is strictly Little Mix	"Stuyvesant Town, Manhattan"						
								
								
								
Mon Nov 02 22:37:49 +0000 2015	really wanna talk to new people	bEAST coast						
								
								
								
Mon Nov 02 22:37:48 +0000 2015	@GiggleFactory @stagmont bless u	i am 37 years old						
								
								
								
Mon Nov 02 22:37:49 +0000 2015	Seeee this is what happen when your a whore  https://t.co/0iKCG5pYad	null						
								
								
								
Mon Nov 02 22:37:49 +0000 2015	@NicolePonti I'm eating all my sports feelings!!!! https://t.co/PACkMy5hEu	"Panic City, NY"						
								
								
								
Mon Nov 02 22:37:49 +0000 2015	Ho3z gon be ho3z	"New Jersey, NYC "						
								
								
								
Mon Nov 02 22:37:49 +0000 2015	5 salary negotiation rules you should follow!	"New York, NY 10018"						
								
								
								
Mon Nov 02 22:37:50 +0000 2015	@CozzaJordan the dark lord #halloween #trickortreat #chathamny https://t.co/CY4UHnVHFn	Hudson NY	halloween					
			trickortreat					
			chathamny					
								
Mon Nov 02 22:37:51 +0000 2015	pretty cool?? #Repost @thealexandra_a with repostapp. ??? when you see your little Georgia ?? with the… https://t.co/Dxerje6KPf	"Valdosta, GA"	Repost					
								
								
								
Mon Nov 02 22:37:51 +0000 2015	@bucketdad27 @Pitcher101 so what'd you buy her?	null						
								
								
								
Mon Nov 02 22:37:52 +0000 2015	@EthanDolan why won't you notice me... Like you notice everyone but me...	"New York, NY"						
								
								
								
Mon Nov 02 22:37:52 +0000 2015	"@iK4LEN @EdwinJKoh I'm not gonna comment because her dumb ass will subtweet ""nobody wants me to be happy"" Gn"	"Queens, NY"						
								
								
								
Mon Nov 02 22:37:53 +0000 2015	@writinblues @amazon it's out! Congrats!	NYC						
								
								
								
Mon Nov 02 22:37:54 +0000 2015	"So in this neighborhood the trees eat children.  Creepy. @ Sherman, Connecticut https://t.co/JA3K9KhwIl"	"Hartford, CT"						
								
								
								
Mon Nov 02 22:37:54 +0000 2015	"_""#feeding #the #cat #colony #inwood #these #kitties #need #a #home #asap #plus #they #are #all… https://t.co/02DkNEoBhf"	New York City	feeding					
			the					
			cat					
			colony					
			inwood					
			these					
			kitties					
			need					
			a					
			home					
			asap					
			plus					
			they					
			are					
			all					
Mon Nov 02 22:37:55 +0000 2015	@Noahsyndergaard @lifewithlinzi lol secret mets fan?	Long Island. 						
								
								
								
Mon Nov 02 22:37:55 +0000 2015	#Repost @dstegner119  #100bottlegiveaway #trippydrops ?? 100 bottle giveaway CONTINUES!?????? NOTE:… https://t.co/gbaWUczRlz	long island new york	Repost					
			100bottlegiveaway					
			trippydrops					
								
Mon Nov 02 22:37:55 +0000 2015	#tyrannosaurus #trex #dinosaur #fossil #museum #naturalhistorymuseum #amnh @ American Musem of… https://t.co/8ib3tjVeu7	"Holly Springs, North Carolina"	tyrannosaurus					
			trex					
			dinosaur					
			fossil					
			museum					
			naturalhistorymuseum					
			amnh					
Mon Nov 02 22:37:56 +0000 2015	@scbenzman @MartinsvilleSwy If Logano would have just bumped Matt up and out of his way in Kansas do you think this would have happened?	New York						
								
								
								
Mon Nov 02 22:37:57 +0000 2015	he makes me laugh. like a lot?? @ Central Park https://t.co/1RLLddbjRa	NYC 						
								
								
								
Mon Nov 02 22:37:58 +0000 2015	@UrGoinOffline @rvgba_ @Queen_Nude Is that not a balloon?	860						
								
								
								
Mon Nov 02 22:37:59 +0000 2015	"@TaylorLorenz There's a rarely helpful Facebook group I'll send you an invite to, but...it's pretty difficult. I'd email everyone you know!"	right behind you						
								
								
								
Mon Nov 02 22:37:59 +0000 2015	Noodles & Company mmmmmmmmmm	NY						
								
								
								
Mon Nov 02 22:38:00 +0000 2015	"Don't dwell on it, just keep moving forward"	"New Jersey, USA"						
								
								
								
Mon Nov 02 22:38:00 +0000 2015	"We're #hiring! Read about our latest #job opening here: Retail Store Positions - https://t.co/OwUYP90e4D #EastIslip, NY #Retail"	null	hiring					
			job					
			EastIslip					
			Retail					
Mon Nov 02 22:38:01 +0000 2015	Beautiful sunset for a terrible day ?? https://t.co/URbgYQcSYt	"Montville, CT"						
								
								
								
Mon Nov 02 22:38:02 +0000 2015	Always opportunity somewhere https://t.co/D3tXv4gZQT	Bronx NY						
								
								
								
Mon Nov 02 22:38:03 +0000 2015	"You know who your true friends are... or are not, I suppose... when your medical issues are treated as a burden #sorrynotsorry"	"Syracuse, NY"	sorrynotsorry					
								
								
								
Mon Nov 02 22:38:06 +0000 2015	@marisamarden absolutely nothing	"Manhattan, NY"						
								
								
								
Mon Nov 02 22:38:05 +0000 2015	"What I did today in #NYC -research trip comes to an end after one more day @nypl tomorrow, very lucky to be here https://t.co/ibQeQiPnHm"	"York, UK"	NYC					
								
								
								
								
								
								
								
								
								
								
								
Mon Nov 02 22:38:06 +0000 2015	"Dear snow,  Please hurry, my sled needs to be ridden"	"Upstate, New York"						
								
								
								
Mon Nov 02 22:38:08 +0000 2015	About last Friday... #Halloween laser tag with the team! #VetteryLife https://t.co/HBkp2ieGyx	"New York, NY"	Halloween					
			VetteryLife					
								
								
Mon Nov 02 22:38:09 +0000 2015	"I'm at @BaruchCollege - William and Anita Newman Vertical Campus in New York, NY https://t.co/rtuGFnypUA"	Antigua/New York						
								
								
								
Mon Nov 02 22:38:09 +0000 2015	?? can't believe I'm on probation for 18 months..	null						
								
								
								
Mon Nov 02 22:38:10 +0000 2015	Who do you want to see Detective Lara Vega date this season? #MinorityReport @MinorityReport @MeaganGood @starksands	null	MinorityReport					
								
								
								
Mon Nov 02 22:38:11 +0000 2015	YO BROOKLYN/NYC WE WILL BE AT @babysallright SUNDAY NOVEMBER 8th WITH @cokeweedrockers @savantsnyc &… https://t.co/QiGIybbS5z	bahstin						
								
								
								
Mon Nov 02 22:38:11 +0000 2015	Luv when my phone doesn't work	null						
								
								
								
Mon Nov 02 22:38:11 +0000 2015	There's really nothing like the first time. It's a long way down when you fall and you're missing cloud nine.	WB						
								
								
								
Mon Nov 02 22:38:12 +0000 2015	I am pleased to announce that on Sunday November 22nd from 12pm-5pm @richthebarber is partnering with… https://t.co/mx3vDkfjUv	NyC						
								
								
								
Mon Nov 02 22:38:13 +0000 2015	@JWLevitt That's a killer workout Jonathan! What are you training for?	"Boston, MA"						
								
								
								
Mon Nov 02 22:38:14 +0000 2015	"Can you recommend anyone for this #job? Asset Protection Manager - https://t.co/jZBnewAOpT #Westbury, New York #security #Hiring #CareerArc"	New York	job					
			Westbury					
			security					
			Hiring					
			CareerArc					
Mon Nov 02 22:38:15 +0000 2015	Joining the growing group of people disappointed in Bluehost. Can't log in. Can't change password. Can't get my blog to work. #hostingfail	"Point Pleasant Beach, NJ"	hostingfail					
								
								
								
Mon Nov 02 22:38:15 +0000 2015	I love how kit kats and York party's actually make the sounds that they make in commercials	null						
								
								
								
Mon Nov 02 22:38:15 +0000 2015	Its fuckin 530 and its pitch black out	631 Bike Life						
								
								
								
Mon Nov 02 22:38:16 +0000 2015	Has @vicenews ever considered hiring a religion reporter who knows something about Catholicism? @GetReligion  https://t.co/gzKJM0yptW	"New York, USA"						
								
								
								
Mon Nov 02 22:38:17 +0000 2015	@82ndMackin fuck it I'll take it over what we had in Denver anyway he a beast	UPTOWN						
								
								
								
Mon Nov 02 22:38:18 +0000 2015	"tfw when therapist asks u the required question ""have u ever had thoughts of hurting someone else?"" & u pause a little before saying no"	"Connecticut, USA"						
								
								
								
Mon Nov 02 22:38:20 +0000 2015	@KiraMartin4 brain spaghetti :/	new yaltz new pork						
								
								
								
Mon Nov 02 22:38:20 +0000 2015	"$10,000 money-line bet on Michigan; $6,000 money-line bet on Duke a part of the weekend sweats in Vegas: https://t.co/slXlxmtanz"	null						
								
								
								
Mon Nov 02 22:38:20 +0000 2015	Here's mine https://t.co/2lgzvkhchY	null						
								
								
								
Mon Nov 02 22:38:20 +0000 2015	"FACEBOOK HAD ""CHIEF KEEF"" TRENDING INSTEAD OF LIL B ABOUT THE WEEKND BEEF SMH YALL DUMB"	"Based World, NYC."						
								
								
								
Mon Nov 02 22:38:21 +0000 2015	#thankyou @tyrabanks  #BFOG I love #acronyms #Big #Fierce #Outrageous #Goals. #mondaymotivation photo: blackamerica https://t.co/1JQisZmyz1	"New York, NY"	thankyou					
			BFOG					
			acronyms					
			Big					
			Fierce					
			Outrageous					
			Goals					
			mondaymotivation					
Mon Nov 02 22:38:21 +0000 2015	@DanaHollyWood omg Dana how do you find these things??? I literally loled	NYC						
								
								
								
Mon Nov 02 22:38:22 +0000 2015	@FritosnFoie @Max_TWS lol. I'm much better as a cool aunt.	"Brooklyn, New York"						
								
								
								
Mon Nov 02 22:38:22 +0000 2015	"People lie, make mistakes - forensics don't. #science #forensicfiles"	The City	science					
			forensicfiles					
								
								
Mon Nov 02 22:38:23 +0000 2015	Lol Luis Castillo  https://t.co/Yl4Oz1KZ20	null						
								
								
								
