created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
Mon Nov 02 22:48:07 +0000 2015	"Tell u what Heather, we'll consider doing something that stupid when sum1 gets us our Crystal Fall from 2002 https://t.co/J1hXbUcwjy"	305 M..I...YaaaaaaOOOOO						
								
								
								
Mon Nov 02 22:48:07 +0000 2015	When hard work finally catches up with perfect timing >>>>>>	Freeport						
								
								
								
Mon Nov 02 22:48:09 +0000 2015	3 Effective Tips for Marketing to Millennials https://t.co/8uKvfhKRuJ (via juice.li) https://t.co/CIaZtHmQhD	null						
								
								
								
Mon Nov 02 22:48:10 +0000 2015	@MaxCarterXXX Its evening here in Florida ^_^	"Tampa, Florida"						
								
								
								
Mon Nov 02 22:48:10 +0000 2015	shawn the type of guy that owned an easy bake oven as a kid	null						
								
								
								
Mon Nov 02 22:48:10 +0000 2015	that last sentence...  https://t.co/C0iESsBb4T	Christmas Island						
								
								
								
Mon Nov 02 22:48:12 +0000 2015	@TG3TZ this ???? https://t.co/kgWNjomEar	null						
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Mon Nov 02 22:48:15 +0000 2015	Nothing warms my heart more than a dude putting his pride aside & cry for his girl & admit that he fucked up.	somewhere in miami 						
								
								
								
Mon Nov 02 22:48:15 +0000 2015	I adore my boyfriend	null						
								
								
								
Mon Nov 02 22:48:15 +0000 2015	Can't let none of this shit get to me...	Freeport						
								
								
								
Mon Nov 02 22:48:18 +0000 2015	I hate you ?? thank you baby ???? https://t.co/i0mm75IZTY	Killadelphia						
								
								
								
Mon Nov 02 22:48:18 +0000 2015	?????????? https://t.co/TVQn1I8sIa	null						
								
								
								
Mon Nov 02 22:48:19 +0000 2015	@khabyllll yeah and I was sick	miami						
								
								
								
Mon Nov 02 22:48:21 +0000 2015	I want to fuck Michael Cera	"Florida, USA"						
								
								
								
Mon Nov 02 22:48:21 +0000 2015	lacrimar	null						
								
								
								
Mon Nov 02 22:48:21 +0000 2015	"I'm always there for everyone, But who is ever really here for me ?? ??"	miami ??						
								
								
								
Mon Nov 02 22:48:24 +0000 2015	K	null						
								
								
								
