created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:12:40 +0000 2015,@foryoujuupaiva @PortalPaivaBR o fusso ai nao e legal TeamCassandra,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:41 +0000 2015,Free meals for #Veterans on Veterans Day 2015  https://t.co/zwP1z9UwXK via fox4kc,Veterans,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:41 +0000 2015,"#Awkward Marathon, 👌🏼",Awkward,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:43 +0000 2015,Lol @ the dumb bitch on the highway who thinks she hot shit. 🖕🏼,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:43 +0000 2015,"Tryin lafues brew (@ Gaston's Tavern - @waltdisneyworld in Lake Buena Vista, FL) https://t.co/Tsv4PYmrwM",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:44 +0000 2015,Irritated af,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:49 +0000 2015,@Lucha_Rios @AJSlambino @TheTommyDaniels @Lucha_Cruz @ATLWrestlingEnt Oh I'm Sicilian I stay hot. My ass looks good in tight jeans and boots,,,
,,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:50 +0000 2015,@lildurk_ YOU DROPPED MY BEYONCE YET?,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:52 +0000 2015,@SLICIDTHEGREAT you should come to my House in LA and bring the Juggboyz,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:54 +0000 2015,"""Grace, you've shown me grace. You've lifted my shame. Drawn me with loving kindness.""",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:54 +0000 2015,"tryna chill w you, tryna chill w you",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:55 +0000 2015,@jpaw1002 This guy!!! Comedian destroys a heckler with 3 words (Video) https://t.co/dqdEdb2zEr,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:55 +0000 2015,"Beat American 1-0, woo",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:55 +0000 2015,Siempre solo y no le hablo a nadie por no incomodar..,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:57 +0000 2015,@CallofDuty fix your damn servers. So laggy all the time.,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:57 +0000 2015,HAPPY BIRTHDAY SARAH❤️❤️. @sarah_diazzz,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:57 +0000 2015,@BoundsDakota @jenna_ferrin  https://t.co/i2voJxtDoz,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:59 +0000 2015,@icmcwaffle @techsavvyed very nice!!!,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:01 +0000 2015,⚽️#GoSpartan #SoccorMom #SouthRidge #SpartanForLife ⚽️ @meylinrodriguez alexgomezrealtor… https://t.co/1FbuB3BSLO,SoccorMom,,
,,SouthRidge,,
